Total_Capex,Total_Revenue,WACC,Weight_Cap,Weight_Env,Weight_Grid,Weight_Social,Max_Penetration,Timestamp,Sim_ID,Hora,Preco_LMP,Carga_Total,PV_Total,Wind_Total,Bess_Discharge,Bess_Charge,Bess_SoC_Pct,DER_Injecao_Liq,Rev_Energia,Rev_Social,Rev_Grid
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,0,0.0223,363.9543,0.0000,214.9270,0.0000,0.0000,50.0000,214.9270,14.3528,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,1,0.0222,364.0527,0.0000,151.4644,0.0000,0.0000,50.0000,151.4644,10.0694,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,2,0.0221,365.1441,0.0000,467.3224,0.0000,100.2803,58.3806,367.0421,30.9554,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,3,0.0215,367.4733,0.0000,295.7426,0.0000,0.0000,58.3806,295.7426,19.1109,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,4,0.0219,388.6418,0.0000,41.5547,0.0000,0.0000,58.3806,41.5547,2.7264,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,5,0.0220,427.9104,0.0000,274.7562,0.0000,0.0000,58.3806,274.7562,18.1092,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,6,0.0227,447.9312,0.0000,52.2431,0.0000,0.0000,58.3806,52.2431,3.5609,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,7,0.0228,472.8619,0.0000,456.8044,0.0000,0.0000,58.3806,456.8044,31.2180,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,8,0.0234,494.9731,7.4706,520.5424,0.0000,33.7624,61.2022,494.2506,37.1140,0.0000,0.0000
1307252.3727,356.7074,0.0200,0.0000,0.0000,0.0000,0.0000,0.5000,2026-01-28 16:37:28,20260128_163728,9,0.0232,509.9583,33.2093,145.5705,0.0000,0.0000,61.2022,178.7798,12.4484,0.0000,0.0000
